sample_id,session_id,timestamp_utc,t_session_s,target_id,tracker_serial,feature_stage,feature_kinematic_model_version,feature_link1_length_mm,feature_link2_length_mm,feature_q1_delta_deg,feature_q2_delta_deg,feature_q3_delta_deg,feature_q1_delta_rad,feature_q2_delta_rad,feature_q3_delta_rad,feature_target_x_mm,feature_target_y_mm,feature_target_z_mm,feature_pan_init_deg,feature_lift_init_deg,feature_elbow_init_deg,feature_pan_target_deg,feature_lift_target_deg,feature_elbow_target_deg,feature_velocity_deg_s,feature_hold_s,feature_status_armed,feature_status_fault,feature_status_enabled_axes,feature_status_configured_axes,feature_pan_pos_raw,feature_pan_logical_deg,feature_pan_reported_target_deg,feature_pan_load_raw,feature_pan_voltage_raw,feature_pan_temperature_c,feature_pan_current_raw,feature_lift_pos_raw,feature_lift_logical_deg,feature_lift_reported_target_deg,feature_lift_load_raw,feature_lift_voltage_raw,feature_lift_temperature_c,feature_lift_current_raw,feature_elbow_pos_raw,feature_elbow_logical_deg,feature_elbow_reported_target_deg,feature_elbow_load_raw,feature_elbow_voltage_raw,feature_elbow_temperature_c,feature_elbow_current_raw,label_window_mean_x_mm_relative,label_window_mean_y_mm_relative,label_window_mean_z_mm_relative,label_window_std_mm,label_window_max_span_mm,label_sample_count,label_window_start_s,label_window_end_s,tracker_valid_ratio,quality_flags
2000001,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.856187+00:00,,SYNRAW000001,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-2.802,27.053,46.447,-0.04890412564088111,0.472163922542026,0.8106530776738063,-176.4084128280854,-15.837591448111272,328.20829945062525,77.4,79.2,66.4,74.598,106.253,112.84700000000001,8.0,0.45,synthetic,synthetic,3,3,1595,74.5048230807702,74.5048230807702,-16,124,35,1,2371,107.16293044458891,107.16293044458891,124,123,41,9,2081,113.0223758376969,113.0223758376969,36,124,36,1,424.5328594337207,-373.10594048585443,260.7062910335951,2.586420947192424,7.448768053793089,8,,,0.9999999999999998,synthetic_nonlinear_interp
2000002,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.857187+00:00,,SYNRAW000002,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-18.663,11.274,57.798,-0.32573079829970175,0.1967684198698407,1.0087654010676825,-153.57698431650934,-117.0084354624068,245.45634611997843,77.4,79.2,66.4,58.73700000000001,90.474,124.19800000000001,8.0,0.45,synthetic,synthetic,3,3,1347,59.039296166611074,59.039296166611074,39,124,35,2,2117,91.25429520897083,91.25429520897083,99,123,42,6,2274,124.25642816419133,124.25642816419133,19,124,37,1,560.3312466393726,-276.32415710906906,256.9188342271266,1.8786918400111527,5.037718452389675,8,,,0.9999999999999999,synthetic_nonlinear_interp
2000003,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.858187+00:00,,SYNRAW000003,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-16.665,17.188,69.726,-0.290859119844855,0.2999871918327853,1.2169482742455662,-215.12109111495135,-85.27811717588332,288.3623620510898,77.4,79.2,66.4,60.73500000000001,96.388,136.126,8.0,0.45,synthetic,synthetic,3,3,1374,60.67794153003867,60.67794153003867,-10,124,37,1,2210,97.08905524685301,97.08905524685301,93,123,44,6,2479,136.23351419543565,136.23351419543565,11,124,38,0,553.4940401968888,-316.9854710927486,221.29466449902492,1.1827476781038464,3.185883867598952,8,,,1.0,synthetic_nonlinear_interp
2000004,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.859187+00:00,,SYNRAW000004,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,8.148,15.63,34.744,0.14220942745249796,0.2727949620867137,0.6063971953129098,-87.74286075329762,59.02528896172666,234.87201026538267,77.4,79.2,66.4,85.548,94.83,101.144,8.0,0.45,synthetic,synthetic,3,3,1766,85.19923879837015,85.19923879837015,-34,124,38,2,2189,95.75961256272433,95.75961256272433,135,123,47,12,1882,101.35323716591104,101.35323716591104,33,123,38,1,332.9762770050838,-272.29783684953657,231.68679940109394,2.7689351045267085,7.807694543823723,7,,,1.0,synthetic_nonlinear_interp
2000005,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.860187+00:00,,SYNRAW000005,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,13.088,-8.93,44.6,0.22842869250101783,-0.15585790220309362,0.778416846389471,-53.077723894936426,103.90340427534302,70.05488719556605,77.4,79.2,66.4,90.488,70.27000000000001,111.0,8.0,0.45,synthetic,synthetic,3,3,1857,90.87078741684051,90.87078741684051,30,124,37,1,1793,70.98622147003341,70.98622147003341,93,123,45,5,2051,111.21944990837532,111.21944990837532,50,124,39,2,385.81691998098034,-97.9250027193388,134.48007485111535,2.4109840708449237,6.676995900876286,7,,,1.0,synthetic_nonlinear_interp
2000006,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.861187+00:00,,SYNRAW000006,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,0.875,-7.852,58.206,0.015271630954950384,-0.13704325286659477,1.0158863444158195,-75.25377838785147,6.487071864642717,113.0158403550662,77.4,79.2,66.4,78.275,71.348,124.60600000000001,8.0,0.45,synthetic,synthetic,3,3,1659,78.50800251410645,78.50800251410645,20,124,37,1,1801,71.50184167514877,71.50184167514877,37,123,45,2,2286,124.95000925368662,124.95000925368662,46,124,37,2,465.141107859824,-147.00388134873592,166.8919058761695,1.7289972109731095,4.740812228314995,7,,,1.0,synthetic_nonlinear_interp
2000007,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.862187+00:00,,SYNRAW000007,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,9.574,-16.863,66.301,0.1670978225859371,-0.2943148717638038,1.1571707473647606,-88.65585366571361,69.38166737984403,64.91527509167496,77.4,79.2,66.4,86.974,62.337,132.70100000000002,8.0,0.45,synthetic,synthetic,3,3,1795,86.9812834227423,86.9812834227423,-9,124,38,1,1659,62.62820973715583,62.62820973715583,45,123,48,2,2425,133.08486512124446,133.08486512124446,54,124,39,2,467.55282002481795,-120.84557899137648,92.71362212853539,1.454602321589949,3.9706161949392165,8,,,0.9999999999999999,synthetic_nonlinear_interp
2000008,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.863187+00:00,,SYNRAW000008,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-1.614,-8.953,58.741,-0.02816961412718848,-0.15625932793105232,1.025223855913989,-74.70037102532207,-11.98369640054438,106.04490338945273,77.4,79.2,66.4,75.786,70.247,125.141,8.0,0.45,synthetic,synthetic,3,3,1619,76.02524567135461,76.02524567135461,21,124,37,1,1784,70.4046020583876,70.4046020583876,34,123,44,2,2295,125.51825889511751,125.51825889511751,51,124,37,2,482.2955517066496,-141.7557612378946,169.4003687924392,1.692015609607912,4.587888274665213,7,,,0.9999999999999999,synthetic_nonlinear_interp
2000009,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.864187+00:00,,SYNRAW000009,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,1.964,27.592,35.154,0.03427826650916863,0.4815712472102754,0.6135530452460867,-142.7423181178516,12.250972703737052,316.7487227104827,77.4,79.2,66.4,79.364,106.792,101.554,8.0,0.45,synthetic,synthetic,3,3,1672,79.33245727878128,79.33245727878128,-15,124,36,1,2381,107.80332424225551,107.80332424225551,142,123,44,12,1886,101.6147469709622,101.6147469709622,26,124,37,1,368.82445139094625,-365.23935056962296,267.83182541314494,3.0472443898808934,8.603335185765552,7,,,0.9999999999999999,synthetic_nonlinear_interp
2000010,rigid3_20260525_125412Z_2linkik_1000t_synthetic_only_nonlinear5000,2026-05-25T14:01:52.865187+00:00,,SYNRAW000010,LHR-A84263A3_SYNTHETIC_INTERP,P1_THREE_AXIS_2LINK_IK_TARGET_TRACKER_LABEL_SYNTHETIC_NONLINEAR_INTERP,three_axis_yaw_pitch_elbow_v2_2link_ik_l1_300mm_l2_200mm,300.0,200.0,-15.298,0.909,39.985,-0.26700046897009255,0.015865042900628457,0.6978699014099327,-64.83899506812696,-119.03025305842161,135.6916446789183,77.4,79.2,66.4,62.102000000000004,80.10900000000001,106.385,8.0,0.45,synthetic,synthetic,3,3,1396,62.100096849863235,62.100096849863235,-3,124,36,1,1948,80.68343971256,80.68343971256,76,123,43,5,1974,106.74412380947344,106.74412380947344,41,124,37,2,538.1642064325786,-159.82276130940997,278.702063946784,2.1185494841052916,5.9314524274939835,8,,,1.0,synthetic_nonlinear_interp
