planned_order_index,target_id,q1_bin,q2_bin,q3_bin,workspace_yaw_bin,workspace_radial_bin,workspace_z_bin,q1_requested_delta_deg,q2_requested_delta_deg,q3_requested_delta_deg,q1_commanded_delta_deg,q2_commanded_delta_deg,q3_commanded_delta_deg,q1_commanded_delta_rad,q2_commanded_delta_rad,q3_commanded_delta_rad,target_x_mm,target_y_mm,target_z_mm,target_base_radial_mm,commanded_fk_x_mm,commanded_fk_y_mm,commanded_fk_z_mm,pan_init_deg,lift_init_deg,elbow_init_deg,pan_target_deg,lift_target_deg,elbow_target_deg,velocity_deg_s,hold_s,pan_command,lift_command,elbow_command
2000001,SYNRAW000001,4,8,6,4,4,9,-2.802,27.053,46.447,-2.802,27.053,46.447,-0.04890412564088111,0.472163922542026,0.8106530776738063,-176.4084128280854,-15.837591448111272,328.20829945062525,323.9789261531004,-176.4084128280854,-15.837591448111272,328.20829945062525,77.4,79.2,66.4,74.598,106.253,112.84700000000001,8.0,0.45,SYNTHETIC SET shoulder_pan 74.598 8.000,SYNTHETIC SET shoulder_lift 106.253 8.000,SYNTHETIC SET elbow_flex 112.847 8.000
2000002,SYNRAW000002,1,5,7,1,6,6,-18.663,11.274,57.798,-18.663,11.274,57.798,-0.32573079829970175,0.1967684198698407,1.0087654010676825,-153.57698431650934,-117.0084354624068,245.45634611997843,365.6499415624242,-153.57698431650934,-117.0084354624068,245.45634611997843,77.4,79.2,66.4,58.73700000000001,90.474,124.19800000000001,8.0,0.45,SYNTHETIC SET shoulder_pan 58.737 8.000,SYNTHETIC SET shoulder_lift 90.474 8.000,SYNTHETIC SET elbow_flex 124.198 8.000
2000003,SYNRAW000003,1,6,9,1,3,7,-16.665,17.188,69.726,-16.665,17.188,69.726,-0.290859119844855,0.2999871918327853,1.2169482742455662,-215.12109111495135,-85.27811717588332,288.3623620510898,297.3690468031256,-215.12109111495135,-85.27811717588332,288.3623620510898,77.4,79.2,66.4,60.73500000000001,96.388,136.126,8.0,0.45,SYNTHETIC SET shoulder_pan 60.735 8.000,SYNTHETIC SET shoulder_lift 96.388 8.000,SYNTHETIC SET elbow_flex 136.126 8.000
2000004,SYNRAW000004,6,6,4,6,7,6,8.148,15.63,34.744,8.148,15.63,34.744,0.14220942745249796,0.2727949620867137,0.6063971953129098,-87.74286075329762,59.02528896172666,234.87201026538267,416.4612029912154,-87.74286075329762,59.02528896172666,234.87201026538267,77.4,79.2,66.4,85.548,94.83,101.144,8.0,0.45,SYNTHETIC SET shoulder_pan 85.548 8.000,SYNTHETIC SET shoulder_lift 94.830 8.000,SYNTHETIC SET elbow_flex 101.144 8.000
2000005,SYNRAW000005,7,1,5,7,9,1,13.088,-8.93,44.6,13.088,-8.93,44.6,0.22842869250101783,-0.15585790220309362,0.778416846389471,-53.077723894936426,103.90340427534302,70.05488719556605,458.8414086576494,-53.077723894936426,103.90340427534302,70.05488719556605,77.4,79.2,66.4,90.488,70.27000000000001,111.0,8.0,0.45,SYNTHETIC SET shoulder_pan 90.488 8.000,SYNTHETIC SET shoulder_lift 70.270 8.000,SYNTHETIC SET elbow_flex 111.000 8.000
2000006,SYNRAW000006,5,2,8,5,8,2,0.875,-7.852,58.206,0.875,-7.852,58.206,0.015271630954950384,-0.13704325286659477,1.0158863444158195,-75.25377838785147,6.487071864642717,113.0158403550662,424.79575665862467,-75.25377838785147,6.487071864642717,113.0158403550662,77.4,79.2,66.4,78.275,71.348,124.60600000000001,8.0,0.45,SYNTHETIC SET shoulder_pan 78.275 8.000,SYNTHETIC SET shoulder_lift 71.348 8.000,SYNTHETIC SET elbow_flex 124.606 8.000
2000007,SYNRAW000007,6,0,9,6,7,1,9.574,-16.863,66.301,9.574,-16.863,66.301,0.1670978225859371,-0.2943148717638038,1.1571707473647606,-88.65585366571361,69.38166737984403,64.91527509167496,417.1544348222732,-88.65585366571361,69.38166737984403,64.91527509167496,77.4,79.2,66.4,86.974,62.337,132.70100000000002,8.0,0.45,SYNTHETIC SET shoulder_pan 86.974 8.000,SYNTHETIC SET shoulder_lift 62.337 8.000,SYNTHETIC SET elbow_flex 132.701 8.000
2000008,SYNRAW000008,4,1,8,4,8,2,-1.614,-8.953,58.741,-1.614,-8.953,58.741,-0.02816961412718848,-0.15625932793105232,1.025223855913989,-74.70037102532207,-11.98369640054438,106.04490338945273,425.46842818876604,-74.70037102532207,-11.98369640054438,106.04490338945273,77.4,79.2,66.4,75.786,70.247,125.141,8.0,0.45,SYNTHETIC SET shoulder_pan 75.786 8.000,SYNTHETIC SET shoulder_lift 70.247 8.000,SYNTHETIC SET elbow_flex 125.141 8.000
2000009,SYNRAW000009,5,8,4,5,5,8,1.964,27.592,35.154,1.964,27.592,35.154,0.03427826650916863,0.4815712472102754,0.6135530452460867,-142.7423181178516,12.250972703737052,316.7487227104827,357.46767349788996,-142.7423181178516,12.250972703737052,316.7487227104827,77.4,79.2,66.4,79.364,106.792,101.554,8.0,0.45,SYNTHETIC SET shoulder_pan 79.364 8.000,SYNTHETIC SET shoulder_lift 106.792 8.000,SYNTHETIC SET elbow_flex 101.554 8.000
2000010,SYNRAW000010,1,3,5,1,9,3,-15.298,0.909,39.985,-15.298,0.909,39.985,-0.26700046897009255,0.015865042900628457,0.6978699014099327,-64.83899506812696,-119.03025305842161,135.6916446789183,451.14665171811873,-64.83899506812696,-119.03025305842161,135.6916446789183,77.4,79.2,66.4,62.102000000000004,80.10900000000001,106.385,8.0,0.45,SYNTHETIC SET shoulder_pan 62.102 8.000,SYNTHETIC SET shoulder_lift 80.109 8.000,SYNTHETIC SET elbow_flex 106.385 8.000
