target_index,candidate_count,best_predicted_error_mm,original_label_target_error_mm,best_q1_cmd_deg,best_q2_cmd_deg,best_q3_cmd_deg,target_x_mm,target_y_mm,target_z_mm,pred_x_mm,pred_y_mm,pred_z_mm
0,5000,7.490110304368462,9.48797280732757,2.415,27.895,64.288,-171.68375480066112,14.805398648840267,303.9843890402588,-176.2247629761696,11.002873785793781,299.3994351923466
1,5000,11.441779446685832,84.76622475441383,8.571,17.016,33.977,-99.9133357746254,98.80397097285947,277.77662332991525,-92.20974957942963,91.21059639379382,281.5061995983124
2,5000,5.922375615328533,34.229563647529304,-2.518,17.627,68.678,-174.37689923360088,-30.28166066590889,256.18775670384144,-173.88458034396172,-24.770699962973595,258.299975246191
3,5000,12.50345292136788,15.39505911248508,-11.528,-6.327,45.083,-57.85655899188507,-90.95203917616516,104.99070662504523,-67.3230040371418,-82.88871119916439,103.68476057052612
4,5000,2.9177912255633327,57.380431589148714,5.01,-13.314,46.87,-73.58086149172816,25.610316932059472,48.89295641429492,-72.6926816701889,23.46263188123703,47.128844410181046
5,5000,11.330035953435026,46.29377319810846,10.204,29.502,52.327,-165.82140754253638,81.57519227329531,321.0679207535157,-177.0471509695053,80.9908821284771,322.486011326313
6,5000,8.840387321399744,41.59776190277526,16.358,11.976,38.143,-102.07148030529034,144.53533031159577,228.7944147985797,-96.4307083338499,144.94010236859322,235.58928780257702
7,5000,11.105317061954498,33.86266366785655,-18.114,9.145,57.634,-140.28918710179698,-141.43283958400846,206.62685664560377,-148.90041327476501,-134.44120889902115,206.08653154969215
8,5000,13.723322083207334,27.3540280684342,10.554,-3.658,43.83,-80.67441944265758,70.12589614116352,124.1902145303525,-72.40507966279984,79.4746676441282,129.89530523866415
9,5000,7.115567656441626,46.043643338694466,0.35,-9.35,50.836,-82.52641967442187,-3.694244700266714,93.68460445835169,-84.60378673672676,-5.5257405042648315,87.13010430335999
