split_mode,seed,model_name,split,rows,selected_base_combo,correction_method,selected_k,selected_bandwidth_scale,selected_amount,device_used,cuda_device_name,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
v1000_only_random,0,cuda_density_aware_local_krr,train,408,target3_delta05_a3e-4_g0p03+trig_x2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.201946153507245,0.9823092650632544,2.285641756180466,2.825639721308443,4.741416417468769,0.8455882352941176,0.9215686274509803
v1000_only_random,0,cuda_density_aware_local_krr,valid,88,target3_delta05_a3e-4_g0p03+trig_x2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.78535696691284,1.32892567959974,3.650940506204684,4.534694192816857,7.81361207168128,0.7272727272727273,0.8295454545454546
v1000_only_random,0,cuda_density_aware_local_krr,test,88,target3_delta05_a3e-4_g0p03+trig_x2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,2.2599176656942106,1.9677324087333985,4.10206217301672,6.150522901111489,8.543089635895846,0.5113636363636364,0.6590909090909091
v1000_only_random,1,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,10,2.0,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.1749830928029077,0.9503477793970488,2.294611273249555,2.911805383518229,5.2004331423341625,0.8529411764705882,0.928921568627451
v1000_only_random,1,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,10,2.0,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.273866311429328,1.665718268605227,5.222272764767745,6.1285224316145355,7.093794455961351,0.6136363636363636,0.6818181818181818
v1000_only_random,1,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+trig_x2_a1e-4_g0p03+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,10,2.0,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9549977945754586,1.347242667992108,3.8403723880304255,4.881956975080848,9.396170126468956,0.6704545454545454,0.7272727272727273
v1000_only_random,2,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.3680682465189842,1.1393807868424441,2.5557238462941996,3.053491979429799,6.720086445560202,0.8161764705882353,0.8872549019607843
v1000_only_random,2,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,2.1112897338030105,1.7437492287924357,3.8189878219513007,4.958906646163843,7.269579893756398,0.5909090909090909,0.6818181818181818
v1000_only_random,2,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03,adaptive_residual,5,0.5,0.75,cuda,NVIDIA GeForce RTX 2070 SUPER,1.908363293653339,1.458484905539121,3.5944454233483376,4.457146736885367,11.779561267961652,0.6477272727272727,0.7727272727272727
v1000_only_random,3,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-4_g0p07+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2146457404514706,0.9574279135450989,2.367637139756043,2.899266916183789,6.490559585533358,0.8553921568627451,0.9166666666666666
