seed,split,model_name,device_used,cuda_device_name,alpha,gamma,k,bandwidth_scale,shrink,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
0,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0916263415845486,0.8687877607386643,1.9677342471928208,2.600631055571398,9.901063222884273,0.9022857142857142,0.944
0,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6728816520615021,0.5069803066877399,1.3225703506326072,1.7433281254488668,5.136937907972215,0.9706666666666667,0.9853333333333333
0,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6807891754315082,0.5129454104773157,1.3197503180651284,1.7340217664562145,5.557176795168193,0.9666666666666667,0.9853333333333333
1,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0638073848037386,0.8438056073155755,1.9042738518177456,2.4198122114172143,9.643193290241637,0.9117142857142857,0.9525714285714286
1,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7210279235595716,0.4997811118348709,1.4924582808404465,1.89315470884438,6.539221381743193,0.9533333333333334,0.972
1,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6976036671132168,0.5205570836897607,1.3046490007461704,1.812004415353804,5.284031993257403,0.9626666666666667,0.976
2,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0823984794120602,0.8516990861143208,1.9576267176002637,2.5676816596811136,9.355272020317734,0.9065714285714286,0.9465714285714286
2,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7373021240109726,0.5348616844516374,1.4613885609096002,1.9299496881050564,9.973492518561425,0.9573333333333334,0.9746666666666667
2,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6564310809975864,0.5080009141379694,1.2326460911980988,1.592661400258007,7.046791681295105,0.9706666666666667,0.9866666666666667
3,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.064174398912816,0.8337788820107217,1.94381333916019,2.5530787022916477,9.53943090008022,0.9082857142857143,0.946
